,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
640,0.172825,0.586775,0.134075,0.104775,0.2807625,0.1995125,0.5699,0.09085,0.5871375,0.130575,0.317575,0.6633,0.04205,0.1005875,0.6526625,0.7679375,0.6624625,0.0804,0.918775,0.586325,0.3485625,0.1791125,0.08685,0.0309625
650,0.181425,0.594275,0.135325,0.1051625,0.3116125,0.1953875,0.5689125,0.0969875,0.58875,0.1574125,0.31445,0.6668875,0.04225,0.0994875,0.679775,0.7736,0.687425,0.0803875,0.9198375,0.5839875,0.3452625,0.1767875,0.0856,0.030475
660,0.1878125,0.6056125,0.1388875,0.1072125,0.3424,0.197925,0.57905,0.106175,0.59025,0.1938875,0.3210625,0.6722375,0.0431625,0.1013875,0.6946875,0.7776125,0.702325,0.0814,0.9208875,0.5828625,0.3427125,0.17485,0.0848125,0.0303
670,0.1880375,0.6209,0.1396375,0.1079,0.35735,0.20795,0.599975,0.1197625,0.590275,0.2322,0.337525,0.676775,0.0439,0.107875,0.7020375,0.7795625,0.7138,0.0822875,0.9202,0.5820125,0.340725,0.173375,0.0842625,0.03035
680,0.1829625,0.642325,0.1371375,0.106525,0.3544625,0.2218625,0.6276875,0.1391125,0.590675,0.26695,0.359175,0.6840875,0.0441,0.117325,0.70985,0.78515,0.7252625,0.0821625,0.9228625,0.581825,0.3392375,0.1722875,0.083925,0.0304625
690,0.177075,0.66755,0.132125,0.1043875,0.3448375,0.2347,0.652425,0.167525,0.5905625,0.2950375,0.379225,0.69145,0.04445,0.127125,0.7195,0.792825,0.7376125,0.081225,0.92645,0.58105,0.3375125,0.1713875,0.0838875,0.030725
700,0.17725,0.6945375,0.12735,0.1020375,0.343125,0.2449125,0.6701625,0.2063375,0.59105,0.309875,0.3941125,0.6976625,0.0468,0.1357625,0.7271374,0.7997,0.750925,0.0805875,0.9283625,0.580125,0.335775,0.1706,0.08395,0.031575
710,0.183,0.718075,0.1238375,0.10115,0.350475,0.2490875,0.6758875,0.2577125,0.5930875,0.3165875,0.400975,0.7013875,0.05165,0.138225,0.7309124,0.8034375,0.7595625,0.08186249,0.93,0.5796375,0.3347375,0.1699375,0.0843875,0.032125
720,0.1881625,0.72505,0.1283625,0.103625,0.36055,0.247675,0.6610375,0.312875,0.586525,0.3278,0.3940125,0.6961625,0.058575,0.13785,0.726425,0.796725,0.7558375,0.0871875,0.9276625,0.578025,0.3334875,0.1699625,0.0839375,0.0327
730,0.1959375,0.70765,0.1428125,0.10865,0.368275,0.2493375,0.6304,0.361025,0.5633125,0.3510125,0.3833875,0.6684125,0.0707125,0.137875,0.6949375,0.7650625,0.73025,0.10435,0.9038375,0.564325,0.3272375,0.1700125,0.0839375,0.036625
